CATEGORIA;UBICACION TECNICA;CODIGO UBICACION;SUB UBICACION;CODIGO SUBUBICACION
CAMIONETA;MOTOR;CAM-MOT;MOTOR;CAM-MOT
CAMIONETA;MOTOR;CAM-MOT;SISTEMA DE INYECCIÓN;CAM-MOT-INY
CAMIONETA;MOTOR;CAM-MOT;FILTROS;CAM-MOT-FIL
CAMIONETA;MOTOR;CAM-MOT;REFRIGERACIÓN;CAM-MOT-REF
CAMIONETA;TRANSMISIÓN;CAM-TRA;CAJA DE CAMBIOS;CAM-TRA-CAJ
CAMIONETA;TRANSMISIÓN;CAM-TRA;EMBRAGUE;CAM-TRA-EMB
CAMIONETA;TRANSMISIÓN;CAM-TRA;DIFERENCIAL;CAM-TRA-DIF
CAMIONETA;TRANSMISIÓN;CAM-TRA;EJES;CAM-TRA-EJE
CAMIONETA;SISTEMA DE RODADO;CAM-ROD;NEUMÁTICOS;CAM-ROD-NEU
CAMIONETA;SISTEMA DE RODADO;CAM-ROD;FRENOS;CAM-ROD-FRE
CAMIONETA;SISTEMA DE RODADO;CAM-ROD;SUSPENSIÓN;CAM-ROD-SUS
CAMIONETA;SISTEMA ELÉCTRICO;CAM-ELE;BATERÍA;CAM-ELE-BAT
CAMIONETA;SISTEMA ELÉCTRICO;CAM-ELE;ALTERNADOR;CAM-ELE-ALT
CAMIONETA;SISTEMA ELÉCTRICO;CAM-ELE;LUCES;CAM-ELE-LUZ
CAMIONETA;CARROCERÍA;CAM-CAR;CABINA;CAM-CAR-CAB
CAMIONETA;CARROCERÍA;CAM-CAR;PUERTAS;CAM-CAR-PUE
CAMIONETA;CARROCERÍA;CAM-CAR;VIDRIOS;CAM-CAR-VID
CAMIONETA;CARROCERÍA;CAM-CAR;PICKUP;CAM-CAR-PIC
CAMION;MOTOR;CP-MOT;MOTOR;CP-MOT
CAMION;MOTOR;CP-MOT;SISTEMA DE INYECCIÓN;CP-MOT-INY
CAMION;MOTOR;CP-MOT;FILTROS;CP-MOT-FIL
CAMION;MOTOR;CP-MOT;REFRIGERACIÓN;CP-MOT-REF
CAMION;TRANSMISIÓN;CP-TRA;CAJA DE CAMBIOS;CP-TRA-CAJ
CAMION;TRANSMISIÓN;CP-TRA;EMBRAGUE;CP-TRA-EMB
CAMION;TRANSMISIÓN;CP-TRA;DIFERENCIAL;CP-TRA-DIF
CAMION;TRANSMISIÓN;CP-TRA;EJES;CP-TRA-EJE
CAMION;SISTEMA DE RODADO;CP-ROD;NEUMÁTICOS;CP-ROD-NEU
CAMION;SISTEMA DE RODADO;CP-ROD;FRENOS;CP-ROD-FRE
CAMION;SISTEMA DE RODADO;CP-ROD;SUSPENSIÓN;CP-ROD-SUS
CAMION;SISTEMA ELÉCTRICO;CP-ELE;BATERÍA;CP-ELE-BAT
CAMION;SISTEMA ELÉCTRICO;CP-ELE;ALTERNADOR;CP-ELE-ALT
CAMION;SISTEMA ELÉCTRICO;CP-ELE;LUCES;CP-ELE-LUZ
CAMION;CARROCERÍA;CP-CAR;CABINA;CP-CAR-CAB
CAMION;CARROCERÍA;CP-CAR;PUERTAS;CP-CAR-PUE
CAMION;CARROCERÍA;CP-CAR;VIDRIOS;CP-CAR-VID
CAMION;CARROCERÍA;CP-CAR;PLATAFORMA;CP-CAR-PLA
CAMIONES PLUMA;MOTOR;CPL-MOT;MOTOR;CPL-MOT
CAMIONES PLUMA;MOTOR;CPL-MOT;SISTEMA DE INYECCIÓN;CPL-MOT-INY
CAMIONES PLUMA;MOTOR;CPL-MOT;FILTROS;CPL-MOT-FIL
CAMIONES PLUMA;MOTOR;CPL-MOT;REFRIGERACIÓN;CPL-MOT-REF
CAMIONES PLUMA;TRANSMISIÓN;CPL-TRA;CAJA DE CAMBIOS;CPL-TRA-CAJ
CAMIONES PLUMA;TRANSMISIÓN;CPL-TRA;EMBRAGUE;CPL-TRA-EMB
CAMIONES PLUMA;TRANSMISIÓN;CPL-TRA;DIFERENCIAL;CPL-TRA-DIF
CAMIONES PLUMA;TRANSMISIÓN;CPL-TRA;EJES;CPL-TRA-EJE
CAMIONES PLUMA;SISTEMA HIDRÁULICO;CPL-HID;BOMBA HIDRÁULICA;CPL-HID-BOM
CAMIONES PLUMA;SISTEMA HIDRÁULICO;CPL-HID;MANGUERAS;CPL-HID-MAN
CAMIONES PLUMA;SISTEMA HIDRÁULICO;CPL-HID;VÁLVULAS;CPL-HID-VÁLVULAS
CAMIONES PLUMA;PLUMA;CPL-PLU;ESTRUCTURA;CPL-PLU-EST
CAMIONES PLUMA;PLUMA;CPL-PLU;CILINDRO;CPL-PLU-CIL
CAMIONES PLUMA;PLUMA;CPL-PLU;MANDOS;CPL-PLU-MAN
CAMIONES PLUMA;SISTEMA DE RODADO;CPL-ROD;NEUMÁTICOS;CPL-ROD-NEU
CAMIONES PLUMA;SISTEMA DE RODADO;CPL-ROD;FRENOS;CPL-ROD-FRE
CAMIONES PLUMA;SISTEMA DE RODADO;CPL-ROD;SUSPENSIÓN;CPL-ROD-SUS
CAMIONES PLUMA;SISTEMA ELÉCTRICO;CPL-ELE;BATERÍA;CPL-ELE-BAT
CAMIONES PLUMA;SISTEMA ELÉCTRICO;CPL-ELE;ALTERNADOR;CPL-ELE-ALT
CAMIONES PLUMA;SISTEMA ELÉCTRICO;CPL-ELE;LUCES;CPL-ELE-LUZ
CAMIONES PLUMA;CARROCERÍA;CPL-CAR;CABINA;CPL-CAR-CAB
CAMIONES PLUMA;CARROCERÍA;CPL-CAR;PUERTAS;CPL-CAR-PUE
CAMIONES PLUMA;CARROCERÍA;CPL-CAR;VIDRIOS;CPL-CAR-VID
CAMIONES PLUMA;CARROCERÍA;CPL-CAR;PLATAFORMA;CPL-CAR-PLA
CAMION AAV;MOTOR;CAV-MOT;MOTOR;CAV-MOT
CAMION AAV;MOTOR;CAV-MOT;SISTEMA DE INYECCIÓN;CAV-MOT-INY
CAMION AAV;MOTOR;CAV-MOT;FILTROS;CAV-MOT-FIL
CAMION AAV;MOTOR;CAV-MOT;REFRIGERACIÓN;CAV-MOT-REF
CAMION AAV;TRANSMISIÓN;CAV-TRA;CAJA DE CAMBIOS;CAV-TRA-CAJ
CAMION AAV;TRANSMISIÓN;CAV-TRA;EMBRAGUE;CAV-TRA-EMB
CAMION AAV;TRANSMISIÓN;CAV-TRA;DIFERENCIAL;CAV-TRA-DIF
CAMION AAV;TRANSMISIÓN;CAV-TRA;EJES;CAV-TRA-EJE
CAMION AAV;TRANSMISIÓN;CAV-TRA;PTO;CAV-TRA-PTO
CAMION AAV;SISTEMA HIDRÁULICO;CAV-HID;BOMBA HIDRÁULICA;CAV-HID-BBA
CAMION AAV;SISTEMA HIDRÁULICO;CAV-HID;CILINDO;CAV-HID-CIL
CAMION AAV;SISTEMA HIDRÁULICO;CAV-HID;MANGUERAS;CAV-HID-MAN
CAMION AAV;SISTEMA HIDRÁULICO;CAV-HID;VÁLVULAS;CAV-HID-VAL
CAMION AAV;SISTEMA DE VACÍO;CAV-VAC;BOMBA DE VACÍO;CAV-VAC-BBA
CAMION AAV;SISTEMA DE VACÍO;CAV-VAC;FILTRO SEPARADOR;CAV-VAC-FIL
CAMION AAV;SISTEMA DE VACÍO;CAV-VAC;VÁLVULAS DE VACÍO;CAV-VAC-VAL
CAMION AAV;SISTEMA DE VACÍO;CAV-VAC;MANÓMETROS;CAV-VAC-MAN
CAMION AAV;SISTEMA DE ALMACENAMIENTO;CAV-ALM;ESTANQUE;CAV-ALM-TK
CAMION AAV;SISTEMA DE ALMACENAMIENTO;CAV-ALM;SISTEMA DE DESCARGA;CAV-ALM-DES
CAMION AAV;SISTEMA DE CONTROL;CAV-CON;PANEL DE CONTROL;CAV-CON
CAMION AAV;SISTEMA DE RODADO;CAV-ROD;NEUMÁTICOS;CAV-ROD-NEU
CAMION AAV;SISTEMA DE RODADO;CAV-ROD;FRENOS;CAV-ROD-FRE
CAMION AAV;SISTEMA DE RODADO;CAV-ROD;SUSPENSIÓN;CAV-ROD-SUS
CAMION AAV;SISTEMA ELÉCTRICO;CAV-ELE;BATERÍA;CAV-ELE-BAT
CAMION AAV;SISTEMA ELÉCTRICO;CAV-ELE;ALTERNADOR;CAV-ELE-ALT
CAMION AAV;SISTEMA ELÉCTRICO;CAV-ELE;LUCES;CAV-ELE-LUZ
CAMION AAV;CARROCERÍA;CAV-CAR;CABINA;CAV-CAR-CAB
CAMION AAV;CARROCERÍA;CAV-CAR;PUERTAS;CAV-CAR-PUE
CAMION AAV;CARROCERÍA;CAV-CAR;VIDRIOS;CAV-CAR-VID
CAMION AAV;CARROCERÍA;CAV-CAR;ESTANQUE (PARTE TRASERA CAMIÓN);CAV-CAR-TK
BOMBA;MOTOR;BAP-MOT;MOTOR;BAP-MOT
BOMBA;MOTOR;BAP-MOT;SISTEMA DE INYECCIÓN;BAP-MOT-INY
BOMBA;MOTOR;BAP-MOT;FILTROS;BAP-MOT-FIL
BOMBA;MOTOR;BAP-MOT;REFRIGERACIÓN;BAP-MOT-REF
BOMBA;TRANSMISIÓN;BAP-TRA;PTO;BAP-TRA-PTO
BOMBA;TRANSMISIÓN;BAP-TRA;POLEAS/CORREAS;BAP-TRA-POL
BOMBA;INTERIOR BOMBA;BAP-INT;METALES;BAP-INT-MET
BOMBA;INTERIOR BOMBA;BAP-INT;CIGÜEÑAL;BAP-INT-CIG
BOMBA;SISTEMA DE BOMBEO;BAP-BBA;RETENES;BAP-BBA-RET
BOMBA;SISTEMA DE BOMBEO;BAP-BBA;LAINAS;BAP-BBA-LAN
BOMBA;SISTEMA DE BOMBEO;BAP-BBA;RODAMIENTOS;BAP-BBA-ROD
BOMBA;SISTEMA DE BOMBEO;BAP-BBA;ÉMBOLOS;BAP-BBA-EMB
BOMBA;SISTEMA DE BOMBEO;BAP-BBA;PACKING;BAP-BBA-PAC
BOMBA;SISTEMA DE BOMBEO;BAP-BBA;CAMISAS;BAP-BBA-CAM
BOMBA;SISTEMA DE BOMBEO;BAP-BBA;GLAND NUT;BAP-BBA-GDN
BOMBA;SISTEMA DE BOMBEO;BAP-BBA;UNIVÁLVULAS;BAP-BBA-REG
BOMBA;SISTEMA DE BOMBEO;BAP-BBA;O'RINGS;BAP-BBA-ONG
BOMBA;SISTEMA DE BOMBEO;BAP-BBA;CABEZAL;BAP-BBA-CAB
BOMBA;SISTEMA DE FLUIDO;BAP-HID;TANQUE DE AGUA;BAP-HID-TK
BOMBA;SISTEMA DE FLUIDO;BAP-HID;FLOTADOR;BAP-HID-FTD
